Input,Output,ObservedProb,ExpectedProb
tat-a,tata,0.0,0.5238099598396712
tat-a,tala,1.0,0.23809502008016442
tat-a,taa,0.0,0.23809502008016442
tat-ta,tatta,1.0,0.5238099598396712
tat-ta,talta,0.0,0.23809502008016442
tat-ta,tata,0.0,0.23809502008016442
jat-a,jata,0.0,0.5238099598396712
jat-a,jala,1.0,0.23809502008016442
jat-a,jaa,0.0,0.23809502008016442
jat-ta,jatta,1.0,0.5238099598396712
jat-ta,jalta,0.0,0.23809502008016442
jat-ta,jata,0.0,0.23809502008016442
ket-a,keta,0.0,0.5238099598396712
ket-a,kela,1.0,0.23809502008016442
ket-a,kea,0.0,0.23809502008016442
ket-ta,ketta,1.0,0.5238099598396712
ket-ta,kelta,0.0,0.23809502008016442
ket-ta,keta,0.0,0.23809502008016442
pot-a,pota,0.0,0.5238099598396712
pot-a,pola,1.0,0.23809502008016442
pot-a,poa,0.0,0.23809502008016442
pot-ta,potta,1.0,0.5238099598396712
pot-ta,polta,0.0,0.23809502008016442
pot-ta,pota,0.0,0.23809502008016442
chit-a,chita,0.0,0.5238099598396712
chit-a,chila,1.0,0.23809502008016442
chit-a,chia,0.0,0.23809502008016442
chit-ta,chitta,1.0,0.5238099598396712
chit-ta,chilta,0.0,0.23809502008016442
chit-ta,chita,0.0,0.23809502008016442
ppeut-a,ppeuta,1.0,0.5238099598396712
ppeut-a,ppeula,0.0,0.23809502008016442
ppeut-a,ppeua,0.0,0.23809502008016442
ppeut-ta,ppeutta,1.0,0.5238099598396712
ppeut-ta,ppeulta,0.0,0.23809502008016442
ppeut-ta,ppeuta,0.0,0.23809502008016442
goet-a,goeta,1.0,0.5238099598396712
goet-a,goela,0.0,0.23809502008016442
goet-a,goea,0.0,0.23809502008016442
goet-ta,goetta,1.0,0.5238099598396712
goet-ta,goelta,0.0,0.23809502008016442
goet-ta,goeta,0.0,0.23809502008016442
jot-a,jota,1.0,0.5238099598396712
jot-a,jola,0.0,0.23809502008016442
jot-a,joa,0.0,0.23809502008016442
jot-ta,jotta,1.0,0.5238099598396712
jot-ta,jolta,0.0,0.23809502008016442
jot-ta,jota,0.0,0.23809502008016442
pput-a,pputa,1.0,0.5238099598396712
pput-a,ppula,0.0,0.23809502008016442
pput-a,ppua,0.0,0.23809502008016442
pput-ta,pputta,1.0,0.5238099598396712
pput-ta,ppulta,0.0,0.23809502008016442
pput-ta,pputa,0.0,0.23809502008016442
nat-a,nata,1.0,0.5238099598396712
nat-a,nala,0.0,0.23809502008016442
nat-a,naa,0.0,0.23809502008016442
nat-ta,natta,1.0,0.5238099598396712
nat-ta,nalta,0.0,0.23809502008016442
nat-ta,nata,0.0,0.23809502008016442
kkut-a,kkuta,1.0,0.5238099598396712
kkut-a,kkula,0.0,0.23809502008016442
kkut-a,kkua,0.0,0.23809502008016442
kkut-ta,kkutta,1.0,0.5238099598396712
kkut-ta,kkulta,0.0,0.23809502008016442
kkut-ta,kkuta,0.0,0.23809502008016442
sit-a,sita,1.0,0.5238099598396712
sit-a,sila,0.0,0.23809502008016442
sit-a,sia,0.0,0.23809502008016442
sit-ta,sitta,1.0,0.5238099598396712
sit-ta,silta,0.0,0.23809502008016442
sit-ta,sita,0.0,0.23809502008016442
